<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;ATR
20240926;000000;3896;4095;3719;3935;2351224;376
20240927;000000;3949;4258;3940;4198;1060674;318
20240930;000000;4251;4498;4230;4498;972135;268
20241001;000000;4490;4548;4281;4281;907960;267
20241002;000000;4299;4400;4159;4226;587278;241
20241003;000000;4307;4383;4264;4280;967832;119
20241004;000000;4285;4305;4182;4240;404226;123
20241007;000000;4241;4270;4103;4164;344310;167
20241008;000000;4157;4256;4054;4201;497211;202
20241009;000000;4200;4248;4160;4170;212295;88
20241010;000000;4191;4219;4152;4189;208014;67
20241011;000000;4186;4186;4102;4140;133727;84
20241014;000000;4150;4189;4063;4150;288355;126
20241015;000000;4148;4183;4119;4149;224809;64
20241016;000000;4160;4218;4100;4117;245055;118
20241017;000000;4130;4159;4095;4113;172692;64
20241018;000000;4112;4131;4069;4070;157406;62
20241021;000000;4070;4113;4031;4060;185869;82
20241022;000000;4059;4059;3933;3998;368425;126
20241023;000000;3980;4177;3911;4090;634195;266
20241024;000000;4100;4231;4065;4195;381496;166
20241025;000000;4219;4250;4010;4160;632398;240
20241028;000000;4133;4136;4050;4100;275952;86
20241029;000000;4499;4500;4186;4312;1580082;314
20241030;000000;4329;4341;4275;4290;280396;66
20241031;000000;4250;4270;4186;4190;228164;84
20241101;000000;4209;4249;4194;4228;151826;55
20241102;000000;4232;4269;4221;4245;91586;48
20241105;000000;4282;4297;4246;4262;174586;51
20241106;000000;4300;4343;4273;4297;312495;70
20241107;000000;4299;4315;4276;4313;99728;39
20241108;000000;4319;4400;4317;4399;207091;83
20241111;000000;4432;4500;4370;4400;406487;130
20241112;000000;4401;4416;4330;4385;230721;86
20241113;000000;4390;4500;4362;4498;401820;138
20241114;000000;4465;4544;4385;4435;531547;159
20241115;000000;4500;4518;4402;4466;341916;116
20241118;000000;4402;4480;4350;4453;220128;130
20241119;000000;4460;4465;4285;4360;276092;180
